Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CASHBACK,Savings,2024-05-01 00:50:48,2024-05-02 04:34:02,Plan Cashback,0.05,0.00,RON,COMPLETED,3.86
CASHBACK,Savings,2024-05-01 12:06:02,2024-05-02 04:34:18,Plan Cashback,0.01,0.00,RON,COMPLETED,3.87
CASHBACK,Savings,2024-05-01 12:54:14,2024-05-02 04:34:21,Plan Cashback,0.01,0.00,RON,COMPLETED,3.88
CASHBACK,Savings,2024-05-01 00:30:02,2024-05-02 07:00:05,Plan Cashback,0.17,0.00,RON,COMPLETED,4.05
CASHBACK,Savings,2024-05-02 21:43:51,2024-05-03 07:36:35,Plan Cashback,0.02,0.00,RON,COMPLETED,4.07
CASHBACK,Savings,2024-05-02 20:39:56,2024-05-03 07:41:38,Plan Cashback,0.09,0.00,RON,COMPLETED,4.16
CASHBACK,Savings,2024-05-03 06:21:58,2024-05-03 15:56:27,Plan Cashback,0.18,0.00,RON,COMPLETED,4.34
CASHBACK,Savings,2024-05-03 16:41:37,2024-05-04 18:35:43,Plan Cashback,0.01,0.00,RON,COMPLETED,4.35
CASHBACK,Savings,2024-05-04 09:50:14,2024-05-05 04:37:58,Plan Cashback,0.01,0.00,RON,COMPLETED,4.36
CASHBACK,Savings,2024-05-06 18:53:42,2024-05-07 16:22:27,Plan Cashback,0.07,0.00,RON,COMPLETED,4.43
CASHBACK,Savings,2024-05-07 22:18:13,2024-05-08 04:35:35,Plan Cashback,0.04,0.00,RON,COMPLETED,4.47
CASHBACK,Savings,2024-05-08 20:33:21,2024-05-09 06:38:26,Plan Cashback,0.03,0.00,RON,COMPLETED,4.50
CASHBACK,Savings,2024-05-09 12:39:04,2024-05-10 07:40:26,Plan Cashback,0.04,0.00,RON,COMPLETED,4.54
CASHBACK,Savings,2024-05-10 15:17:14,2024-05-11 16:28:41,Plan Cashback,0.09,0.00,RON,COMPLETED,4.63
CASHBACK,Savings,2024-05-10 14:12:06,2024-05-11 16:46:42,Plan Cashback,0.05,0.00,RON,COMPLETED,4.68
CASHBACK,Savings,2024-05-11 15:48:37,2024-05-12 17:22:34,Plan Cashback,0.13,0.00,RON,COMPLETED,4.81
CASHBACK,Savings,2024-05-12 08:42:15,2024-05-13 07:40:42,Plan Cashback,0.01,0.00,RON,COMPLETED,4.82
CASHBACK,Savings,2024-05-12 20:52:26,2024-05-13 18:08:27,Plan Cashback,0.12,0.00,RON,COMPLETED,4.94
CASHBACK,Savings,2024-05-12 18:11:29,2024-05-13 18:14:50,Plan Cashback,0.12,0.00,RON,COMPLETED,5.06
CASHBACK,Savings,2024-05-14 21:00:39,2024-05-15 06:43:40,Plan Cashback,0.06,0.00,RON,COMPLETED,5.12
CASHBACK,Savings,2024-05-15 13:10:43,2024-05-16 07:45:37,Plan Cashback,0.04,0.00,RON,COMPLETED,5.16
CASHBACK,Savings,2024-05-16 12:40:01,2024-05-17 06:41:28,Plan Cashback,0.04,0.00,RON,COMPLETED,5.20
CASHBACK,Savings,2024-05-17 20:57:20,2024-05-18 07:35:42,Plan Cashback,0.23,0.00,RON,COMPLETED,5.43
TRANSFER,Savings,2024-05-20 13:56:35,2024-05-20 13:56:35,To RON,-5.00,0.00,RON,COMPLETED,0.43
CASHBACK,Savings,2024-05-18 16:13:46,2024-05-20 15:01:50,Plan Cashback,0.15,0.00,RON,COMPLETED,0.58
CASHBACK,Savings,2024-05-19 19:15:44,2024-05-20 17:31:30,Plan Cashback,0.18,0.00,RON,COMPLETED,0.76
CASHBACK,Savings,2024-05-18 19:25:39,2024-05-21 04:43:07,Plan Cashback,0.04,0.00,RON,COMPLETED,0.80
CASHBACK,Savings,2024-05-26 16:10:18,2024-05-27 17:42:18,Plan Cashback,0.02,0.00,RON,COMPLETED,0.82
CASHBACK,Savings,2024-05-28 21:03:19,2024-05-29 16:29:42,Plan Cashback,0.06,0.00,RON,COMPLETED,0.88
CASHBACK,Savings,2024-05-28 23:10:05,2024-05-30 15:38:57,Plan Cashback,0.05,0.00,RON,COMPLETED,0.93
CASHBACK,Savings,2024-05-31 19:37:18,2024-06-01 07:40:56,Plan Cashback,0.08,0.00,RON,COMPLETED,1.01
CASHBACK,Savings,2024-06-02 17:16:50,2024-06-03 07:41:45,Plan Cashback,0.10,0.00,RON,COMPLETED,1.11
TRANSFER,Current,2024-05-01 00:28:44,2024-05-01 00:28:44,From Emergency Fund,50.00,0.00,RON,COMPLETED,183.07
TRANSFER,Current,2024-05-01 00:49:50,2024-05-01 00:49:50,From Emergency Fund,50.00,0.00,RON,COMPLETED,233.07
CARD_PAYMENT,Current,2024-04-29 09:22:55,2024-05-01 04:57:13,Metrorex,-3.00,0.00,RON,COMPLETED,230.07
CARD_PAYMENT,Current,2024-04-29 18:11:49,2024-05-01 04:57:18,Metrorex,-3.00,0.00,RON,COMPLETED,227.07
TRANSFER,Current,2024-05-01 10:33:53,2024-05-01 10:33:53,From Emergency Fund,10.00,0.00,RON,COMPLETED,237.07
TRANSFER,Current,2024-05-01 12:02:31,2024-05-01 12:02:31,From Emergency Fund,20.00,0.00,RON,COMPLETED,257.07
CARD_PAYMENT,Current,2024-05-01 00:50:48,2024-05-02 04:33:20,Digi,-49.94,0.00,RON,COMPLETED,207.13
CARD_PAYMENT,Current,2024-05-01 12:06:02,2024-05-02 04:34:18,Unic Edyad,-10.00,0.00,RON,COMPLETED,197.13
CARD_PAYMENT,Current,2024-05-01 12:54:14,2024-05-02 04:34:21,Unic Edyad,-10.99,0.00,RON,COMPLETED,186.14
CARD_PAYMENT,Current,2024-05-01 00:30:01,2024-05-02 07:00:05,IKEA,-172.60,0.00,RON,COMPLETED,13.54
TOPUP,Current,2024-05-02 11:28:14,2024-05-02 11:28:14,Payment from Cristian Tiftilov,1923.00,0.00,RON,COMPLETED,1936.54
TRANSFER,Current,2024-05-02 11:28:33,2024-05-02 11:28:33,Savings Vault topup,-130.00,0.00,RON,COMPLETED,1806.54
CARD_PAYMENT,Current,2024-05-01 10:34:06,2024-05-03 04:54:35,Metrorex,-3.00,0.00,RON,COMPLETED,1803.54
CARD_PAYMENT,Current,2024-05-01 14:34:10,2024-05-03 04:54:45,Metrorex,-3.00,0.00,RON,COMPLETED,1800.54
CARD_PAYMENT,Current,2024-05-01 19:39:24,2024-05-03 04:54:47,Metrorex,-3.00,0.00,RON,COMPLETED,1797.54
CARD_PAYMENT,Current,2024-04-30 07:33:39,2024-05-03 04:54:52,Metrorex,-3.00,0.00,RON,COMPLETED,1794.54
CARD_PAYMENT,Current,2024-05-02 21:43:50,2024-05-03 07:36:35,Mega Image,-17.86,0.00,RON,COMPLETED,1776.68
CARD_PAYMENT,Current,2024-05-02 20:39:55,2024-05-03 07:41:38,IKEA,-91.70,0.00,RON,COMPLETED,1684.98
CARD_PAYMENT,Current,2024-05-03 06:21:58,2024-05-03 15:56:27,Abonamente Săli,-179.00,0.00,RON,COMPLETED,1505.98
CARD_PAYMENT,Current,2024-05-02 19:01:12,2024-05-04 04:51:50,Metrorex,-3.00,0.00,RON,COMPLETED,1502.98
CARD_PAYMENT,Current,2024-05-03 16:41:36,2024-05-04 18:35:42,HORNBACH,-12.50,0.00,RON,COMPLETED,1490.48
CARD_PAYMENT,Current,2024-05-04 09:50:13,2024-05-05 04:37:58,Regio Călători,-10.00,0.00,RON,COMPLETED,1480.48
CARD_PAYMENT,Current,2024-05-06 18:53:41,2024-05-07 16:22:27,Lazarini,-73.50,0.00,RON,COMPLETED,1406.98
CARD_PAYMENT,Current,2024-05-07 22:18:12,2024-05-08 04:35:25,Mega Image,-41.41,0.00,RON,COMPLETED,1365.57
CARD_PAYMENT,Current,2024-05-04 09:37:44,2024-05-08 04:39:27,CFR Călători,-1.85,0.00,RON,COMPLETED,1363.72
CARD_PAYMENT,Current,2024-05-03 17:11:07,2024-05-08 04:52:57,Metrorex,-3.00,0.00,RON,COMPLETED,1360.72
CARD_PAYMENT,Current,2024-05-03 22:34:06,2024-05-08 04:53:06,Metrorex,-3.00,0.00,RON,COMPLETED,1357.72
CARD_PAYMENT,Current,2024-05-04 08:28:05,2024-05-08 04:53:06,Metrorex,-3.00,0.00,RON,COMPLETED,1354.72
CARD_PAYMENT,Current,2024-05-07 20:01:50,2024-05-09 04:35:33,Societatea Nationala D,-1.85,0.00,RON,COMPLETED,1352.87
CARD_PAYMENT,Current,2024-05-07 21:17:52,2024-05-09 04:51:03,Metrorex,-3.00,0.00,RON,COMPLETED,1349.87
CARD_PAYMENT,Current,2024-05-08 20:33:20,2024-05-09 06:38:26,Carrefour,-31.17,0.00,RON,COMPLETED,1318.70
CARD_PAYMENT,Current,2024-05-10 04:17:12,,Uber,-27.66,0.00,RON,REVERTED,
CARD_PAYMENT,Current,2024-05-08 08:50:40,2024-05-10 04:49:18,Metrorex,-3.00,0.00,RON,COMPLETED,1315.70
CARD_PAYMENT,Current,2024-05-08 19:52:34,2024-05-10 04:49:29,Metrorex,-3.00,0.00,RON,COMPLETED,1312.70
CARD_PAYMENT,Current,2024-05-09 12:39:03,2024-05-10 07:40:26,Sotos Club,-35.00,0.00,RON,COMPLETED,1277.70
TRANSFER,Current,2024-05-10 15:17:49,2024-05-10 15:18:19,To Asociatia Europeana Pentru Mobilitate Asociatia Europeana Pentru Mobilitate,-40.00,0.00,RON,COMPLETED,1237.70
CARD_PAYMENT,Current,2024-05-09 18:54:30,2024-05-11 04:52:07,Metrorex,-3.00,0.00,RON,COMPLETED,1234.70
CARD_PAYMENT,Current,2024-05-09 08:57:28,2024-05-11 04:52:11,Metrorex,-3.00,0.00,RON,COMPLETED,1231.70
CARD_PAYMENT,Current,2024-05-10 15:17:14,2024-05-11 16:28:40,Uber,-89.66,0.00,RON,COMPLETED,1142.04
CARD_PAYMENT,Current,2024-05-10 14:12:06,2024-05-11 16:46:42,Uber,-47.52,0.00,RON,COMPLETED,1094.52
CARD_PAYMENT,Current,2024-05-11 16:38:03,2024-05-12 16:29:32,STB Bucuresti,-3.00,0.00,RON,COMPLETED,1091.52
CARD_PAYMENT,Current,2024-05-11 20:06:58,2024-05-12 16:30:06,STB Bucuresti,-3.00,0.00,RON,COMPLETED,1088.52
CARD_PAYMENT,Current,2024-05-11 15:48:36,2024-05-12 17:22:33,ZARA,-129.90,0.00,RON,COMPLETED,958.62
CARD_PAYMENT,Current,2024-05-12 08:42:14,2024-05-13 07:40:41,Mega Image,-14.85,0.00,RON,COMPLETED,943.77
TOPUP,Current,2024-05-13 13:23:51,2024-05-13 13:23:52,Payment from Cristian Tiftilov,2716.00,0.00,RON,COMPLETED,3659.77
TRANSFER,Current,2024-05-13 13:24:08,2024-05-13 13:24:08,Savings Vault topup,-2000.00,0.00,RON,COMPLETED,1659.77
TRANSFER,Current,2024-05-13 13:25:24,2024-05-13 13:25:24,Savings Vault topup,-500.00,0.00,RON,COMPLETED,1159.77
CARD_PAYMENT,Current,2024-05-12 08:22:35,2024-05-13 17:36:36,STB Bucuresti,-3.00,0.00,RON,COMPLETED,1156.77
CARD_PAYMENT,Current,2024-05-12 18:30:37,2024-05-13 17:37:19,STB Bucuresti,-3.00,0.00,RON,COMPLETED,1153.77
CARD_PAYMENT,Current,2024-05-12 20:52:25,2024-05-13 18:08:27,Altex,-115.69,0.00,RON,COMPLETED,1038.08
CARD_PAYMENT,Current,2024-05-12 18:11:28,2024-05-13 18:14:50,Therme Nord București,-121.00,0.00,RON,COMPLETED,917.08
CARD_PAYMENT,Current,2024-05-10 14:37:40,2024-05-14 04:57:30,Metrorex,-3.00,0.00,RON,COMPLETED,914.08
CARD_PAYMENT,Current,2024-05-10 15:30:41,2024-05-14 04:57:35,Metrorex,-3.00,0.00,RON,COMPLETED,911.08
CARD_PAYMENT,Current,2024-05-11 12:25:21,2024-05-14 04:57:45,Metrorex,-3.00,0.00,RON,COMPLETED,908.08
CARD_PAYMENT,Current,2024-05-12 07:50:06,2024-05-14 04:57:54,Metrorex,-3.00,0.00,RON,COMPLETED,905.08
CARD_PAYMENT,Current,2024-05-11 22:00:25,2024-05-14 04:57:54,Metrorex,-3.00,0.00,RON,COMPLETED,902.08
CARD_PAYMENT,Current,2024-05-11 20:42:05,2024-05-14 04:57:56,Metrorex,-3.00,0.00,RON,COMPLETED,899.08
CARD_PAYMENT,Current,2024-05-12 21:40:59,2024-05-14 04:58:02,Metrorex,-3.00,0.00,RON,COMPLETED,896.08
CARD_PAYMENT,Current,2024-05-14 21:00:38,2024-05-15 06:43:39,Carrefour,-57.05,0.00,RON,COMPLETED,839.03
CARD_PAYMENT,Current,2024-05-15 13:10:43,2024-05-16 07:45:37,Sotos Club,-35.00,0.00,RON,COMPLETED,804.03
CARD_PAYMENT,Current,2024-05-15 18:17:49,2024-05-17 04:54:47,Metrorex,-3.00,0.00,RON,COMPLETED,801.03
CARD_PAYMENT,Current,2024-05-15 08:52:20,2024-05-17 04:55:01,Metrorex,-3.00,0.00,RON,COMPLETED,798.03
CARD_PAYMENT,Current,2024-05-16 12:40:00,2024-05-17 06:41:27,Sotos Club,-35.00,0.00,RON,COMPLETED,763.03
CARD_PAYMENT,Current,2024-05-16 18:09:05,2024-05-18 04:55:52,Metrorex,-3.00,0.00,RON,COMPLETED,760.03
CARD_PAYMENT,Current,2024-05-16 09:01:53,2024-05-18 04:56:03,Metrorex,-3.00,0.00,RON,COMPLETED,757.03
CARD_PAYMENT,Current,2024-05-17 20:57:19,2024-05-18 07:35:42,Lidl,-228.47,0.00,RON,COMPLETED,528.56
TRANSFER,Current,2024-05-20 13:56:35,2024-05-20 13:56:35,To RON,5.00,0.00,RON,COMPLETED,533.56
CARD_PAYMENT,Current,2024-05-18 16:13:45,2024-05-20 15:01:50,Sports Direct,-149.61,1.50,RON,COMPLETED,382.45
CARD_PAYMENT,Current,2024-05-19 08:03:22,2024-05-20 16:24:56,STB Bucuresti,-3.00,0.00,RON,COMPLETED,379.45
CARD_PAYMENT,Current,2024-05-19 19:30:40,2024-05-20 16:29:31,STB Bucuresti,-3.00,0.00,RON,COMPLETED,376.45
CARD_PAYMENT,Current,2024-05-19 19:15:43,2024-05-20 17:31:29,Therme Nord București,-181.00,0.00,RON,COMPLETED,195.45
FEE,Current,2024-05-21 04:33:25,2024-05-21 04:33:25,Metal Repricing 1 plan fee,-64.99,0.00,RON,COMPLETED,130.46
CARD_PAYMENT,Current,2024-05-18 19:25:40,2024-05-21 04:43:07,Taco Bell,-43.40,0.00,RON,COMPLETED,87.06
CARD_PAYMENT,Current,2024-05-18 20:32:22,2024-05-21 04:51:04,Metrorex,-3.00,0.00,RON,COMPLETED,84.06
CARD_PAYMENT,Current,2024-05-18 17:51:24,2024-05-21 04:51:08,Metrorex,-3.00,0.00,RON,COMPLETED,81.06
CARD_PAYMENT,Current,2024-05-19 07:33:05,2024-05-21 04:51:15,Metrorex,-3.00,0.00,RON,COMPLETED,78.06
CARD_PAYMENT,Current,2024-05-19 20:48:23,2024-05-21 04:51:22,Metrorex,-3.00,0.00,RON,COMPLETED,75.06
CARD_PAYMENT,Current,2024-05-26 16:10:18,2024-05-27 17:42:17,Four Sec,-24.00,0.00,RON,COMPLETED,51.06
CARD_PAYMENT,Current,2024-05-26 15:09:42,2024-05-28 04:55:29,Metrorex,-3.00,0.00,RON,COMPLETED,48.06
CARD_PAYMENT,Current,2024-05-26 18:10:57,2024-05-28 04:55:31,Metrorex,-3.00,0.00,RON,COMPLETED,45.06
TRANSFER,Current,2024-05-28 20:51:06,2024-05-28 20:51:06,From Emergency Fund,16.00,0.00,RON,COMPLETED,61.06
TRANSFER,Current,2024-05-28 23:09:46,2024-05-28 23:09:46,From Emergency Fund,50.00,0.00,RON,COMPLETED,111.06
CARD_PAYMENT,Current,2024-05-28 21:03:19,2024-05-29 16:29:42,Uber,-60.02,0.00,RON,COMPLETED,51.04
CARD_PAYMENT,Current,2024-05-28 23:10:05,2024-05-30 15:38:57,Uber,-45.54,0.00,RON,COMPLETED,5.50
TOPUP,Current,2024-05-31 09:02:08,2024-05-31 09:02:09,Payment from Cristian Tiftilov,3054.00,0.00,RON,COMPLETED,3059.50
TRANSFER,Current,2024-05-31 09:02:23,2024-05-31 09:02:23,Savings Vault topup,-2600.00,0.00,RON,COMPLETED,459.50
CARD_PAYMENT,Current,2024-05-31 19:37:18,2024-06-01 07:40:56,Socului kebap,-76.00,0.00,RON,COMPLETED,383.50
TRANSFER,Current,2024-06-01 10:31:02,2024-06-01 10:31:02,Savings Vault topup,-383.00,0.00,RON,COMPLETED,0.50
TRANSFER,Current,2024-06-01 16:17:05,2024-06-01 16:17:05,From Emergency Fund,80.00,0.00,RON,COMPLETED,80.50
TRANSFER,Current,2024-06-01 16:17:53,2024-06-01 16:17:53,To DAVID-MIHAI ALBULET,-65.00,0.00,RON,COMPLETED,15.50
CARD_PAYMENT,Current,2024-06-01 21:16:57,,Metrorex,-3.00,0.00,RON,PENDING,
CARD_PAYMENT,Current,2024-06-02 15:49:04,,Metrorex,-3.00,0.00,RON,PENDING,
TRANSFER,Current,2024-06-02 17:16:27,2024-06-02 17:16:27,From Emergency Fund,100.00,0.00,RON,COMPLETED,115.50
CARD_PAYMENT,Current,2024-06-02 19:46:43,,Metrorex,-3.00,0.00,RON,PENDING,
CARD_PAYMENT,Current,2024-06-02 17:16:49,2024-06-03 07:41:45,Vindem Ieftin,-95.00,0.00,RON,COMPLETED,20.50
TRANSFER,Deposit,2024-05-01 00:28:44,2024-05-01 00:28:44,From Emergency Fund,-50.00,0.00,RON,COMPLETED,4950.79
TRANSFER,Deposit,2024-05-01 00:49:50,2024-05-01 00:49:50,From Emergency Fund,-50.00,0.00,RON,COMPLETED,4900.79
INTEREST,Deposit,2024-05-01 04:00:00,2024-05-01 07:51:25,Interest earned - Emergency Fund,0.50,0.08,RON,COMPLETED,4901.21
TRANSFER,Deposit,2024-05-01 10:33:53,2024-05-01 10:33:53,From Emergency Fund,-10.00,0.00,RON,COMPLETED,4891.21
TRANSFER,Deposit,2024-05-01 12:02:31,2024-05-01 12:02:31,From Emergency Fund,-20.00,0.00,RON,COMPLETED,4871.21
INTEREST,Deposit,2024-05-02 04:00:00,2024-05-02 07:51:26,Interest earned - Emergency Fund,0.50,0.08,RON,COMPLETED,4871.63
TRANSFER,Deposit,2024-05-02 11:28:33,2024-05-02 11:28:33,Savings Vault topup,130.00,0.00,RON,COMPLETED,5001.63
INTEREST,Deposit,2024-05-03 04:00:00,2024-05-03 09:53:09,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5002.06
INTEREST,Deposit,2024-05-04 04:00:00,2024-05-04 05:56:35,Interest earned - Emergency Fund,0.52,0.08,RON,COMPLETED,5002.50
INTEREST,Deposit,2024-05-05 04:00:00,2024-05-05 08:28:50,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5002.93
INTEREST,Deposit,2024-05-06 04:00:00,2024-05-06 07:48:28,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5003.36
INTEREST,Deposit,2024-05-07 04:00:00,2024-05-07 09:06:14,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5003.79
INTEREST,Deposit,2024-05-08 04:00:00,2024-05-08 09:44:45,Interest earned - Emergency Fund,0.52,0.08,RON,COMPLETED,5004.23
INTEREST,Deposit,2024-05-09 04:00:00,2024-05-09 07:06:37,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5004.66
INTEREST,Deposit,2024-05-10 04:00:00,2024-05-10 09:34:18,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5005.09
INTEREST,Deposit,2024-05-11 04:00:00,2024-05-11 09:55:35,Interest earned - Emergency Fund,0.52,0.08,RON,COMPLETED,5005.53
INTEREST,Deposit,2024-05-12 04:00:00,2024-05-12 06:53:22,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5005.96
INTEREST,Deposit,2024-05-13 04:00:00,2024-05-13 05:57:28,Interest earned - Emergency Fund,0.51,0.08,RON,COMPLETED,5006.39
TRANSFER,Deposit,2024-05-13 13:24:08,2024-05-13 13:24:08,Savings Vault topup,2000.00,0.00,RON,COMPLETED,7006.39
TRANSFER,Deposit,2024-05-13 13:25:24,2024-05-13 13:25:24,Savings Vault topup,500.00,0.00,RON,COMPLETED,7506.39
INTEREST,Deposit,2024-05-14 04:00:00,2024-05-14 08:58:10,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7507.04
INTEREST,Deposit,2024-05-15 04:00:00,2024-05-15 07:10:33,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7507.69
INTEREST,Deposit,2024-05-16 04:00:00,2024-05-16 08:02:38,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7508.34
INTEREST,Deposit,2024-05-17 04:00:00,2024-05-17 07:19:26,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7508.99
INTEREST,Deposit,2024-05-18 04:00:00,2024-05-18 07:37:45,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7509.64
INTEREST,Deposit,2024-05-19 04:00:00,2024-05-19 09:33:57,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7510.29
INTEREST,Deposit,2024-05-20 04:00:00,2024-05-20 09:38:50,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7510.94
INTEREST,Deposit,2024-05-21 04:00:00,2024-05-21 07:37:23,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7511.59
INTEREST,Deposit,2024-05-22 04:00:00,2024-05-22 09:02:11,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7512.24
INTEREST,Deposit,2024-05-23 04:00:00,2024-05-23 09:23:30,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7512.89
INTEREST,Deposit,2024-05-24 04:00:00,2024-05-24 07:24:29,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7513.54
INTEREST,Deposit,2024-05-25 04:00:00,2024-05-25 06:34:37,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7514.19
INTEREST,Deposit,2024-05-26 04:00:00,2024-05-26 05:52:17,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7514.84
INTEREST,Deposit,2024-05-27 04:00:00,2024-05-27 07:11:51,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7515.49
INTEREST,Deposit,2024-05-28 04:00:00,2024-05-28 06:40:36,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7516.14
TRANSFER,Deposit,2024-05-28 20:51:06,2024-05-28 20:51:06,From Emergency Fund,-16.00,0.00,RON,COMPLETED,7500.14
TRANSFER,Deposit,2024-05-28 23:09:46,2024-05-28 23:09:46,From Emergency Fund,-50.00,0.00,RON,COMPLETED,7450.14
INTEREST,Deposit,2024-05-29 04:00:00,2024-05-29 07:08:53,Interest earned - Emergency Fund,0.76,0.11,RON,COMPLETED,7450.79
INTEREST,Deposit,2024-05-30 04:00:00,2024-05-30 05:47:56,Interest earned - Emergency Fund,0.76,0.11,RON,COMPLETED,7451.44
INTEREST,Deposit,2024-05-31 04:00:00,2024-05-31 05:55:12,Interest earned - Emergency Fund,0.77,0.12,RON,COMPLETED,7452.09
TRANSFER,Deposit,2024-05-31 09:02:23,2024-05-31 09:02:23,Savings Vault topup,2600.00,0.00,RON,COMPLETED,10052.09
INTEREST,Deposit,2024-06-01 04:00:00,2024-06-01 06:16:56,Interest earned - Emergency Fund,1.03,0.15,RON,COMPLETED,10052.97
TRANSFER,Deposit,2024-06-01 10:31:02,2024-06-01 10:31:02,Savings Vault topup,383.00,0.00,RON,COMPLETED,10435.97
TRANSFER,Deposit,2024-06-01 16:17:05,2024-06-01 16:17:05,From Emergency Fund,-80.00,0.00,RON,COMPLETED,10355.97
INTEREST,Deposit,2024-06-02 04:00:00,2024-06-02 07:30:45,Interest earned - Emergency Fund,1.06,0.16,RON,COMPLETED,10356.87
TRANSFER,Deposit,2024-06-02 17:16:27,2024-06-02 17:16:27,From Emergency Fund,-100.00,0.00,RON,COMPLETED,10256.87
INTEREST,Deposit,2024-06-03 04:00:00,2024-06-03 07:42:17,Interest earned - Emergency Fund,1.05,0.16,RON,COMPLETED,10257.76
